Total,Orange,Brown
12,6,6
10,5,5
10,5,5
11,6,5
11,5,6
11,6,5
11,6,5
11,6,5
9,4,5
10,9,1
10,8,2
10,4,6
11,3,8
10,5,5
10,8,2
12,6,6
9,5,4
10,5,5
10,5,5
10,8,2
10,8,2
11,8,3
11,5,6
11,7,4
11,2,9
12,8,4
10,6,4
10,5,5
10,7,3
10,7,3
10,3,7
10,5,5
11,7,4
11,4,7
9,6,3
11,8,3
9,5,4
11,6,5
11,4,7
10,4,6
11,7,4
9,4,5
10,7,3
10,4,6
10,6,4
11,2,9
11,8,3
10,6,4
11,4,7
10,5,5
11,5,6
11,6,5
10,3,7
11,7,4
11,5,6
11,7,4
11,8,3
10,1,9
10,5,5
10,3,7
10,4,6
11,3,8
10,5,5
11,5,6
9,5,4
