Total,Orange,Brown
11,6,5
10,8,2
10,4,6
6,2,4
10,4,6
11,4,7
11,6,5
11,4,7
11,8,3
11,6,5
11,2,9
10,7,3
10,3,7
9,5,4
12,8,4
9,3,6
9,7,2
10,3,7
9,5,4
10,4,6
10,8,2
11,8,3
10,4,6
11,5,6
11,4,7
9,7,2
10,4,6
15,11,4
11,5,6
11,5,6
11,8,3
11,9,2
11,2,9
10,3,7
10,6,4
11,7,4
11,4,7
11,6,5
9,7,2
11,4,7
11,8,3
10,3,7
9,4,5
11,4,7
11,7,4
10,7,3
11,4,7
10,7,3
9,4,5
11,9,2
10,7,3
11,7,4
